BMapID	ExpID	Exp Name	Year	1st Author	PubMed	Diagnosis	Stimulus Mod	Stimulus Type	Response Mod	Response Type	Instructions	Context	Paradigm	Behavior	Activation	#Subj
5070095	8	Viewing, Object Specific	NeuroImage	1999	Moore C J	10417250	Normals	Visual	Pictures	Oral/Facial	Speech	Attend	Normal Mapping	Passive Viewing	Perception.Vision.Shape	Y	8
5070096	1	Mental Rotation:  Activation - Baseline	Journal of Cognitive Neuroscience	2001	Ng V W K	11388925	Normals	Visual	Letters, Shapes	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	12
5070096	2	Line Orientation:  Activation - Baseline	Journal of Cognitive Neuroscience	2001	Ng V W K	11388925	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Visuospatial Attention	Perception.Vision.Shape	Y	12
5070098	1	Self-ordered - Control	Proceedings of the National Academy of Sciences	1993	Petrides M	8430100	Normals	Visual	Abstract/Geometrical	Arm	Point	Attend, Repeat	Normal Mapping	Pointing	Cognition.Memory.Working	Y	9
5070098	2	Self-ordered - Conditional	Proceedings of the National Academy of Sciences	1993	Petrides M	8430100	Normals	Visual	Abstract/Geometrical	Arm	Point	Attend, Recall	Normal Mapping	Pointing	Cognition.Memory.Working	Y	9
5070098	3	Conditional - Self-ordered	Proceedings of the National Academy of Sciences	1993	Petrides M	8430100	Normals	Visual	Abstract/Geometrical	Arm	Point	Attend, Recall	Normal Mapping	Pointing	Cognition.Memory.Working	Y	9
5070098	4	Conditional - Control	Proceedings of the National Academy of Sciences	1993	Petrides M	8430100	Normals	Visual	Abstract/Geometrical	Arm	Point	Recall, Repeat	Normal Mapping	Pointing	Cognition.Memory.Working	Y	9
5070099	1	Lexical Decision vs. Rest	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory, None	None, Syllables, Words	Hand	Button Press	Attend, Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	10
5070099	2	Categorical Perception vs. Rest	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory, None	None, Syllables	Hand	Button Press	Attend, Discriminate	Normal Mapping	Phonological Discrimination	Cognition.Language.Phonology	Y	10
5070099	3	FM Sweeps  vs. Rest	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory, None	None, Tones	Hand	Button Press	Attend, Discriminate	Normal Mapping	Tone Monitor/Discrimination	Perception.Audition	Y	10
5070099	4	Lexical Decision vs. Categorical Perception	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory	Syllables, Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	10
5070099	5	Lexical Decision vs. FM Sweeps	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory	Syllables, Tones, Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	10
5070099	6	FM Sweeps vs. Lexical Decision	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory	Syllables, Tones, Words	Hand	Button Press	Discriminate	Normal Mapping	Tone Monitor/Discrimination	Perception.Audition	Y	10
5070099	7	FM Sweeps vs. Categorical Perception	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory	Syllables, Tones	Hand	Button Press	Discriminate	Normal Mapping	Tone Monitor/Discrimination	Perception.Audition	Y	10
5070099	8	Categorical Perception vs. FM Sweeps	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory	Syllables, Tones	Hand	Button Press	Discriminate	Normal Mapping	Phonological Discrimination	Cognition.Language.Phonology	Y	10
5070099	9	Categorical Perception vs. Lexical Decision	Neuropsychologia	2004	Poeppel D	14644105	Normals	Auditory	Syllables, Words	Hand	Button Press	Discriminate	Normal Mapping	Phonological Discrimination	Cognition.Language.Phonology	Y	10
5070100	1	Expansion - Dynamic Baseline	NeuroImage	2001	Ptito M	11707096	Normals	Visual	Abstract/Geometrical	None	None	Attend	Normal Mapping	Visual Pursuit/Tracking	Perception.Vision.Motion	Y	11
5070100	2	Dynamic - Static Baseline	NeuroImage	2001	Ptito M	11707096	Normals	Visual	Abstract/Geometrical	None	None	Attend	Normal Mapping	Visual Pursuit/Tracking	Perception.Vision.Motion	Y	11
5070100	3	Contraction - Dynamic Baseline	NeuroImage	2001	Ptito M	11707096	Normals	Visual	Abstract/Geometrical	None	None	Attend	Normal Mapping	Visual Pursuit/Tracking	Perception.Vision.Motion	Y	11
5070101	1	fMRI:  Finger Tapping vs. Rest, Mean	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	2	fMRI:  Finger Tapping vs. Rest, Subject 1	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	3	fMRI:  Finger Tapping vs. Rest, Subject 2	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	4	fMRI:  Finger Tapping vs. Rest, Subject 3	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	5	fMRI:  Finger Tapping vs. Rest, Subject 4	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	6	fMRI:  Finger Tapping vs. Rest, Subject 5	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	7	fMRI:  Finger Tapping vs. Rest, Subject 6	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	8	fMRI:  Finger Tapping vs. Rest, Subject 7	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	9	fMRI:  Finger Tapping vs. Rest, Subject 8	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	10	fMRI:  Finger Tapping vs. Rest, Subject 9	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	11	PET:  Finger Tapping vs. Rest, Mean	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	12	PET:  Finger Tapping vs. Rest, Subject 1	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	13	PET:  Finger Tapping vs. Rest, Subject 2	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	14	PET:  Finger Tapping vs. Rest, Subject 3	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	15	PET:  Finger Tapping vs. Rest, Subject 4	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	16	PET:  Finger Tapping vs. Rest, Subject 5	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	17	PET:  Finger Tapping vs. Rest, Subject 6	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	18	PET:  Finger Tapping vs. Rest, Subject 7	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	19	PET:  Finger Tapping vs. Rest, Subject 8	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070101	20	PET:  Finger Tapping vs. Rest, Subject 9	Journal of Cerebral Blood Flow and Metabolism	1996	Ramsey N F	8784221	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	1
5070102	1	Pure Tone - Rest	Hearing Research	2004	Reyes S A	15276678	Normals	Auditory, None	None, Tones	None	None	Attend, Passive/Rest	Normal Mapping	Passive Listening, Tone Monitor/Discrimination	Perception.Audition	Y	9
5070102	2	Amplitude Modulated - Rest	Hearing Research	2004	Reyes S A	15276678	Normals	Auditory, None	None, Tones	None	None	Attend, Passive/Rest	Normal Mapping	Passive Listening, Tone Monitor/Discrimination	Perception.Audition	Y	9
5070102	3	Amplitude Modulated - Pure Tone	Hearing Research	2004	Reyes S A	15276678	Normals	Auditory	Tones	None	None	Attend	Normal Mapping	Passive Listening, Tone Monitor/Discrimination	Perception.Audition	Y	9
5070102	4	Morning - Afternoon	Hearing Research	2004	Reyes S A	15276678	Normals	Auditory	Tones	None	None	Attend	Normal Mapping	Passive Listening, Tone Monitor/Discrimination	Perception.Audition	Y	9
5070102	5	Afternoon - Morning	Hearing Research	2004	Reyes S A	15276678	Normals	Auditory	Tones	None	None	Attend	Normal Mapping	Passive Listening, Tone Monitor/Discrimination	Perception.Audition	Y	9
5070103	1	Various Lengths	Journal of Neuroscience	1996	Sadato N	8786445	Normals	Auditory, None	Clicks, None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press, Sequence Recall/Learning	Action.Execution	Y	10
5070103	2	Increased Complexity:  rCBF Increases	Journal of Neuroscience	1996	Sadato N	8786445	Normals	Auditory, None	Clicks, None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press, Sequence Recall/Learning	Action.Execution	Y	10
5070103	3	Increased Complexity:  rCBF Decreases 	Journal of Neuroscience	1996	Sadato N	8786445	Normals	Auditory, None	Clicks, None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press, Sequence Recall/Learning	Action.Execution	N	10
5070104	1	Motion (UNI) - Stationary (STA)	Experimental Brain Research	1999	Sunaert S	10480271	Normals	Visual	Abstract/Geometrical	None	None	Attend	Normal Mapping	Visual Pursuit/Tracking	Perception.Vision.Motion	Y	13
5070105	1	Smooth-Pursuit Eye Movement vs. Fixate	NeuroImage	2002	Tanabe J	12414271	Normals	Visual	Abstract/Geometrical, Fixation Point	None	None	Fixate, Track	Normal Mapping	Visual Pursuit/Tracking	Perception.Vision.Motion	Y	15
5070106	1	Invalid - Valid Spatial Cues	NeuroImage	2004	Thiel C M	14741670	Normals	Visual	Shapes	Hand	Button Press	Detect	Normal Mapping	Visual Distractor/Visual Attention	Cognition.Attention	Y	15
5070106	2	Neutral Cues - No Cues	NeuroImage	2004	Thiel C M	14741670	Normals	Visual	Shapes	Hand	Button Press	Detect	Normal Mapping	Visual Distractor/Visual Attention	Cognition.Attention	Y	15
5070106	3	Valid Cues - Neutral Cues	NeuroImage	2004	Thiel C M	14741670	Normals	Visual	Shapes	Hand	Button Press	Detect	Normal Mapping	Visual Distractor/Visual Attention	Cognition.Attention	Y	15
5070107	1	Overall Effects of Naming Novel and Repeated Objects	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Noise, Pictures	None	None	Attend, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech	Y	10
5070107	2	Main Effects of Naming Novel Objects	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Noise, Pictures	None	None	Attend, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech	Y	10
5070107	3	30 s Delay (Deactivations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Working	N	10
5070107	4	30 s Delay (Activations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Working	Y	10
5070107	5	1 h Delay (Deactivations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	N	10
5070107	6	1 h Delay (Activations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	Y	10
5070107	7	6 h Delay (Deactivations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	N	10
5070107	8	6 h Delay (Activations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	Y	10
5070107	9	3 Day Delay (Deactivations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	N	10
5070107	10	3 Day Delay (Activations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	Y	10
5070107	11	Short Delay (Deactivations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Working	N	10
5070107	12	Short Delay (Activations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Working	Y	10
5070107	13	Long Delay (Deactivations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	N	10
5070107	14	Long Delay (Activations)	Cerebral Cortex	2003	van Turennout M	12631567	Normals	Visual	Pictures	None	None	Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	Y	10
5070108	1	Main Effects, Nameable Objects > Noise	Nature Neuroscience	2000	van Turennout M	11100155	Normals	Visual	Noise, Pictures	None	None	Attend, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech	Y	8
5070108	2	Main Effects, Nonsense Objects > Noise	Nature Neuroscience	2000	van Turennout M	11100155	Normals	Visual	Noise, Pictures	None	None	Attend	Normal Mapping	Passive Viewing	Perception.Vision.Shape	Y	8
5070108	3	Repetition Effects, 30-Sec Delay, Repeated < Novel	Nature Neuroscience	2000	van Turennout M	11100155	Normals	Visual	Pictures	None	None	Attend, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Working	Y	8
5070108	4	Repetition Effects, 3-Day Delay, Repeated < Novel	Nature Neuroscience	2000	van Turennout M	11100155	Normals	Visual	Pictures	None	None	Attend, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	Y	8
5070108	5	Repetition Effects, 30-Sec Delay, Repeated > Novel	Nature Neuroscience	2000	van Turennout M	11100155	Normals	Visual	Pictures	None	None	Attend, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Working	Y	8
5070108	6	Repetition Effects, 3-Day Delay, Repeated > Novel	Nature Neuroscience	2000	van Turennout M	11100155	Normals	Visual	Pictures	None	None	Attend, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech, Cognition.Memory.Explicit	Y	8
5070109	1	Detection vs. Control	NeuroImage	2004	Vannini P	14741642	Normals	Visual	Pictures	Hand	Button Press	Attend, Discriminate	Normal Mapping	Visuospatial Attention	Cognition.Attention, Perception.Vision.Shape	Y	10
5070110	1	Alphanumeric Rotation - Alphanumeric Control	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	Digits, Letters	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	10
5070110	2	Figures Rotation - Figures Control	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	False Font, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Soma, Cognition.Space, Perception.Vision.Shape	Y	10
5070110	3	Figures Control - Figures Rotation	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	False Font, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Soma, Cognition.Space, Perception.Vision.Shape	N	10
5070110	4	Rotations - Controls	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	Digits, False Font, Letters, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	10
5070110	5	Controls - Rotations	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	Digits, False Font, Letters, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	N	10
5070110	6	Figures > Alphanumeric	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	Digits, False Font, Letters, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Soma, Cognition.Space, Perception.Vision.Shape	Y	10
5070110	7	Alphanumeric > Figures	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	Digits, False Font, Letters, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	10
5070110	8	Figures Rotation - Alphanumeric Rotation	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	Digits, False Font, Letters, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Soma, Cognition.Space, Perception.Vision.Shape	Y	10
5070110	9	Alphanumeric Rotation - Figures Rotation	NeuroImage	2001	Vingerhoets G	11162278	Normals	Visual	Digits, False Font, Letters, Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	10
5070111	1	Rotated Hands > Non-Rotated Hands	NeuroImage	2002	Vingerhoets G	12414300	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Soma, Cognition.Space, Perception.Vision.Shape	Y	12
5070111	2	Rotated Tools > Non-Rotated Tools	NeuroImage	2002	Vingerhoets G	12414300	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	12
5070111	3	Non-Rotated Hands > Rotated Hands	NeuroImage	2002	Vingerhoets G	12414300	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Soma, Cognition.Space, Perception.Vision.Shape	N	12
5070111	4	Non-Rotated Tools > Rotated Tools	NeuroImage	2002	Vingerhoets G	12414300	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	N	12
5070111	5	Rotated Hands > Rotated Tools	NeuroImage	2002	Vingerhoets G	12414300	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Soma, Perception.Vision.Shape	Y	12
5070111	6	Rotated Tools > Rotated Hands	NeuroImage	2002	Vingerhoets G	12414300	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Perception.Vision.Shape	Y	12
5070112	1	Go/Stop and Go Only	Human Brain Mapping	2005	Vink M	15852388	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	20
5070112	2	Go/Stop > Go Only	Human Brain Mapping	2005	Vink M	15852388	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	20
5070112	3	Parametric Analysis	Human Brain Mapping	2005	Vink M	15852388	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	20
5070112	4	Correct vs. Incorrect Stop	Human Brain Mapping	2005	Vink M	15852388	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	20
5070113	1	Animal Naming - Control, Overt (PET), Increases	NeuroImage	1999	Votaw J R	10493894	Normals	Visual	Pictures	Oral/Facial	Speech	Discriminate, Name	Normal Mapping	Naming (Overt)	Cognition.Language.Semantics, Cognition.Language.Speech	Y	15
5070113	2	Animal Naming - Control, Overt (PET), Decreases	NeuroImage	1999	Votaw J R	10493894	Normals	Visual	Pictures	Oral/Facial	Speech	Discriminate, Name	Normal Mapping	Naming (Overt)	Cognition.Language.Semantics, Cognition.Language.Speech	N	15
5070113	3	Animal Naming - Control, Covert (fMRI), Increases	NeuroImage	1999	Votaw J R	10493894	Normals	Visual	Pictures	None	None	Discriminate, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech	Y	15
5070113	4	Animal Naming - Control, Covert (fMRI), Decreases	NeuroImage	1999	Votaw J R	10493894	Normals	Visual	Pictures	None	None	Discriminate, Name	Normal Mapping	Naming (Covert)	Cognition.Language.Semantics, Cognition.Language.Speech	N	15
5070114	1	Speech vs. Complex Nonspeech	Journal of Cognitive Neuroscience	2001	Vouloumanos A	11595101	Normals	Auditory	Pseudowords, Sounds (Environmental), Tones	Hand	Button Press	Detect	Normal Mapping	Oddball Discrimination	Cognition.Attention, Cognition.Language.Speech	Y	15
5070114	2	Speech vs. Simple Tones	Journal of Cognitive Neuroscience	2001	Vouloumanos A	11595101	Normals	Auditory	Pseudowords, Tones	Hand	Button Press	Detect	Normal Mapping	Oddball Discrimination	Cognition.Attention, Cognition.Language.Speech	Y	15
5070114	3	Complex Nonspeech vs. Simple Tones	Journal of Cognitive Neuroscience	2001	Vouloumanos A	11595101	Normals	Auditory	Sounds (Environmental), Tones	Hand	Button Press	Detect	Normal Mapping	Oddball Discrimination	Cognition.Attention	Y	15
5070115	1	Rotated Images vs. Control, Men and Women	Neuroscience Letters	2003	Weiss E M	12812832	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	10
5070115	2	Rotated Images vs. Control, Men > Women	Neuroscience Letters	2003	Weiss E M	12812832	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Gender Effects	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	10
5070115	3	Rotated Images vs. Control, Women > Men	Neuroscience Letters	2003	Weiss E M	12812832	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Gender Effects	Mental Rotation	Cognition.Space, Perception.Vision.Shape	Y	10
5070116	1	Target Identification vs. Fixation	NeuroImage	2002	Winterer G	12377159	Normals	Visual	Fixation Point, Shapes	Hand, None	Button Press, None	Discriminate, Fixate	Normal Mapping	Visual Distractor/Visual Attention	Cognition.Attention	Y	6
5070117	1	Simultaneous Masking vs. Baseline	Hearing Research	2003	van Dijk P	12855357	Normals	Auditory, None	Noise, None, Tones	Hand, None	Button Press, None	Detect, Passive/Rest	Normal Mapping	Tone Monitor/Discrimination	Perception.Audition	Y	8
5070117	2	Backwards Masking vs. Baseline	Hearing Research	2003	van Dijk P	12855357	Normals	Auditory, None	Noise, None, Tones	Hand, None	Button Press, None	Detect, Passive/Rest	Normal Mapping	Tone Monitor/Discrimination	Perception.Audition	Y	8
5070117	3	Simultaneous Masking vs. Backwards Masking	Hearing Research	2003	van Dijk P	12855357	Normals	Auditory	Noise, Tones	Hand	Button Press	Detect	Normal Mapping	Tone Monitor/Discrimination	Cognition.Attention, Perception.Audition	Y	8
5070117	4	Backwards Masking vs. Simultaneous Masking	Hearing Research	2003	van Dijk P	12855357	Normals	Auditory	Noise, Tones	Hand	Button Press	Detect	Normal Mapping	Tone Monitor/Discrimination	Cognition.Attention, Perception.Audition	Y	8
5070118	1	Reflexive Saccades vs. Fixation, Increases	Brain	1994	Anderson T J	7953589	Normals	Auditory, Visual	Abstract/Geometrical, Tones	None, Ocular	None, Saccades	Attend, Fixate	Normal Mapping	Saccades	Action.Execution, Perception.Vision.Motion	Y	8
5070118	2	Reflexive Saccades vs. Fixation, Decreases	Brain	1994	Anderson T J	7953589	Normals	Auditory, Visual	Abstract/Geometrical, Tones	None, Ocular	None, Saccades	Attend, Fixate	Normal Mapping	Saccades	Action.Execution, Perception.Vision.Motion	N	8
5070118	3	Remembered Saccades vs. Fixation, Increases	Brain	1994	Anderson T J	7953589	Normals	Auditory, Visual	Abstract/Geometrical, Tones	None, Ocular	None, Saccades	Fixate, Recall	Normal Mapping	Saccades	Action.Execution, Cognition.Memory.Working, Perception.Vision.Motion	Y	8
5070118	4	Remembered Saccades vs. Fixation, Decreases	Brain	1994	Anderson T J	7953589	Normals	Auditory, Visual	Abstract/Geometrical, Tones	None, Ocular	None, Saccades	Fixate, Recall	Normal Mapping	Saccades	Action.Execution, Cognition.Memory.Working, Perception.Vision.Motion	N	8
5070118	5	Remembered Saccades vs. Reflexive Saccades, Increases	Brain	1994	Anderson T J	7953589	Normals	Auditory, Visual	Abstract/Geometrical, Tones	Ocular	Saccades	Attend, Recall	Normal Mapping	Saccades	Action.Execution, Cognition.Memory.Working, Perception.Vision.Motion	Y	8
